"movie_name","movie_url","movie_opening","movie_weekend","movie_firstweek","movie_total","movie_total_worldwide","movie_genre","movie_movierelease","movie_director","movie_director_url","movie_banner","movie_producer","movie_stars","movie_details"
"Veere Di Wedding","https://www.bollywoodmdb.com/movies/veere-di-wedding/16193",": 10.70 cr",": 36.52 cr",": 56.96 cr",": 80.23 cr",": 88.64 cr","Comedy","01 June, 2018 | 2 hrs 5 mins","Shashanka Ghosh","https://www.bollywoodmdb.com/celebrities/shashanka-ghosh/13905","Banner : Anil Kapoor Film Company, Balaji Motion Pictures","Producer : Shobha Kapoor , Anil Kapoor, Ekta Kapoor","Star : Kareena Kapoor , Sonam Kapoor, Swara Bhaskar","Four girls on their way to find true love discover that friendship this strong has its consequences."
"Parmanu: The Story of Pokhran","https://www.bollywoodmdb.com/movies/parmanu-the-story-of-pokhran/16344",": 4.82 cr",": 20.78 cr",": 35.41 cr",": 65.36 cr",": 70.82 cr","Action","25 May, 2018 | 2 hrs 10 mins","Abhishek Sharma","https://www.bollywoodmdb.com/celebrities/abhishek-sharma/13382","Banner : Zee Studios, JA Entertainment, Kyta Productions","Producer : Zee Studios , John Abraham, Kyta Productions","Star : John Abraham , Diana Penty, Boman Irani","A look at India's second confidential nuclear test series at Pokhran lead by Dr. APJ Abdul Kalam, during the time of PM Atal Bihari Vajpayee's tenure."
"Raazi","https://www.bollywoodmdb.com/movies/raazi/16354",": 7.53 cr",": 32.94 cr",": 56.59 cr",": 123.17 cr",": 183.87 cr","Drama, Social, Thriller","11 May, 2018 | 2 hrs 20 mins","Meghna Gulzar","https://www.bollywoodmdb.com/celebrities/meghna-gulzar/4641","Banner : Dharma Productions, Junglee Pictures","Producer : Vineet Jain , Karan Johar, Hiroo Johar","Star : Alia Bhatt , Vicky Kaushal, Rajit Kapoor","A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971."
"102 Not Out","https://www.bollywoodmdb.com/movies/102-not-out/16072",": 3.52 cr",": 16.65 cr",": 27.70 cr",": 51.79 cr",": 77.82 cr","Comedy","04 May, 2018 | 1 hrs 41 mins","Umesh Shukla","https://www.bollywoodmdb.com/celebrities/umesh-shukla/7579","Banner : Treetop Entertainment, Benchmark Pictures, Sony Pictures","Producer : SPE Films India , Treetop Entertainment","Star : Amitabh Bachchan , Rishi Kapoor, Jimit Trivedi",""
"Omerta","https://www.bollywoodmdb.com/movies/omerta/16259",": 0.54 cr",": 2.63 cr",": 3.63 cr",": 3.63 cr",": 4 cr","Drama","04 May, 2018 | 1 hrs 38 mins","Hansal Mehta","https://www.bollywoodmdb.com/celebrities/hansal-mehta/4454","Banner : Swiss Entertainment Pvt. Ltd.","Producer : Nahid Khan","Star : Rajkummar Rao , Rajesh Tailang, Timothy Ryan Hickernell","A recounting of the story of infamous British-born terrorist Ahmed Omar Saeed Sheikh, who kidnapped and murdered Wall Street Journal reporter Daniel Pearl in 2002."
"Nanu Ki Jaanu","https://www.bollywoodmdb.com/movies/nanu-ki-jaanu/16392",": 0.75 cr",": 3.10 cr",": 4 cr",": 4.09 cr",": ---","Comedy","20 April, 2018 | 2 hrs 13 mins","Faraz Haider","https://www.bollywoodmdb.com/celebrities/faraz-haider/30252","Banner : Inbox Pictures Pvt. Ltd., PVR Pictures","Producer : Sajid Qureshi","Star : Abhay Deol , Patralekha, Manu Rishi",""
"October","https://www.bollywoodmdb.com/movies/october/16370",": 5.04 cr",": 20.25 cr",": 30.24 cr",": 45.36 cr",": 54.23 cr","Drama, Romance","13 April, 2018 | 1 hrs 56 mins","Shoojit Sircar","https://www.bollywoodmdb.com/celebrities/shoojit-sircar/5085","Banner : Rising Sun Films, Kino Works","Producer : Ronnie Lahiri , Sheel Kumar","Star : Varun Dhawan , Banita Sandhu, Gitanjali Rao","An unusual story about the unrequited love between two hotel management interns and how things unfold after the girl meets with an accident."
"Blackmail","https://www.bollywoodmdb.com/movies/raita/16311",": 2.81 cr",": 11.22 cr",": 16.92 cr",": 19.11 cr",": 28.6 cr","Comedy","06 April, 2018 | 2 hrs 19 mins","Abhinay Deo","https://www.bollywoodmdb.com/celebrities/abhinay-deo/24196","Banner : T-Series Super Cassettes Industries Ltd., RDP Motion Pictures","Producer : Bhushan Kumar , Krishan Kumar, Abhinay Deo","Star : Irrfan Khan , Kirti Kulhari, Arunoday Singh","The whole world of a common man comes crashing down around him when he finds out that his wife is having an extramarital affair in his absence."
"Baaghi 2","https://www.bollywoodmdb.com/movies/baaghi-2/16289",": 25.10 cr",": 73.10 cr",": 112.85 cr",": 165.50 cr",": 251.31 cr","Action, Romance","30 March, 2018 | 2 hrs 25 mins","Ahmed Khan","https://www.bollywoodmdb.com/celebrities/ahmed-khan/4219","Banner : Nadiadwala Grandson Entertainment, Fox Star Studios","Producer : Sajid Nadiadwala","Star : Tiger Shroff , Disha Patani, Manoj Bajpai","A hapless mother contacts her ex-boyfriend to help her find her missing daughter. The man goes all out to find the little girl and, in the process, several secrets come tumbling out."
"Hichki","https://www.bollywoodmdb.com/movies/hichki/16300",": 3.30 cr",": 15.35 cr",": 26.10 cr",": 46.17 cr",": 75.76 cr","Drama, Social","23 March, 2018 | 2 hrs 20 mins","Siddharth P Malhotra","https://www.bollywoodmdb.com/celebrities/siddharth-p-malhotra/34864","Banner : Yash Raj Films","Producer : Maneesh Sharma","Star : Rani Mukherjee , Supriya Pilgaonkar, Sachin Pilgaonkar","A teacher with having Tourette syndrome does not only overcome her challenges but also helps some economically backward children to find their path."
